00영화금속          012280YHM    1015 10    
00경동가스          012320KDCG   1017 10    
00현대모비스        012330MOBIS  1015 109051
00현대모비스우      012335MOBIS5 1015 109051
00삼성테크윈        012450STW    1013 109011
00더존비즈온        012510DB     1026 10    
00청호컴넷          012600CHC    1012 10    
00경인양행          012610KIS    1008 10    
00현대산업          012630HDC    1018 109210
00모나리자          012690MON    1007 10    
00에스원            012750SOC    1026 109010
00대창              012800DCIC   1011 10    
10대창우            012805DCIC5  1011 10    
00세우글로벌        013000SWG    1016 10    
00세우글로벌우      013005SWG5   1016 10    
00일성건설          013360ISCON  1018 10    
00일성건설2우B      013367INCON6 1018 10    
00화승알앤에이      013520HSRNA  1015 10    
00동양기전          013570DOMECO 1012 10    
00계룡건설          013580KRC    1018 10    
00삼환까뮤          013700CAMUS  1018 10    
00지엠비코리아      013870                  
00한익스프레스      014130HANEX  1019 10    
00대영포장          014160DYP    1007 10    
00금강공업          014280KKI    1011 10    
00금강공업우        014285KKI5   1011 10    
10신일건업          014350SIL    1018 10    
00영보화학          014440YBC    1008 10    
00극동유화          014530KDOC   1008 10    
00백광소재          014580BKMP   1010 10    
00한솔케미칼        014680HANCHEM1008 109131
00사조씨푸드        014710                  
00한라              014790HLEC   1018 10    
00동원시스템즈      014820DWS    1008 10    
00동원시스템즈우    014825DWS5   1008 10    
00유니드            014830UNID   1008 10    
00성문전자          014910SMEC   1013 10    
00성문전자우        014915SMEC5  1013 10    
00인디에프          014990INTHEF 1006 10    
00이스타코          015020EST    1026 10    
00대창단조          015230DCF    1015 10    
00에이엔피          015260ANP    1013 10    
00부산가스          015350PCG    1017 109040
00예스코            015360YESCO  1017 109030
00트랜스더멀아시아홀015540WB     1026 10    
00대경기계          015590DKME   1012 10    
00한국전력          015760KEP    1017 10    
00일진홀딩스        015860ILJINH 1026 10    
00태경산업          015890TKI    1008 10    
00대현              016090DHC    1006 10    
00삼성증권          016360SSS    1024 109010
00동부제철          016380DBSTL  1011 109141
00동부제철우        016385DBSTL5 1011 109141
00NH농협증권        016420NIS    1024 10    
00한세예스24홀딩스  016450HANYES 1026 10    
00환인제약          016580WIP    1009 10    
00신대양제지        016590SDY    1007 10    
00동부증권          016610DBS    1024 109140
00대성홀딩스        016710DGC    1026 10    
00퍼시스            016800FURSYS 1001 10    
10웅진홀딩스        016880WJH    1026 10    
00광명전기          017040KMEC   1013 10    
00명문제약          017180MMP    1009 10    
00우신시스템        017370WSSYS  1012 10    
00서울가스          017390SCG    1017 10    
00수산중공업        017550SSN    1012 10    
10수산중공우        017555SSN5   1012 10    
00SK텔레콤          017670SKTELE 1020 109040
00현대엘리베이      017800HELCO  1012 109021
00풀무원홀딩스      017810PMOHC  1026 10    
00광전자            017900AUK    1013 10    
00E1                017940E1     1016 109030
00한국카본          017960HC     1012 10    
00조일알미늄        018470CHOIL  1011 10    
00동원금속          018500DWM    1015 10    
00SK가스            018670SKGAS  1016 109040
00한라비스테온공조  018880HCC    1012 10    
00신풍제약          019170SPP    1009 10    
00신풍제약우        019175SPP5   1009 10    
00티에이치엔        019180THN    1013 10    
00동일제지          019300DIP    1007 10    
00세아특수강        019440                  
00하이트론          019490HITRON 1013 10    
00대교              019680DK     1026 10    
00대교우B           019685DK5    1026 10    
00한섬              020000HS     1006 10    
00다우인큐브        020120INCUBE 1016 10    
00일진머티리얼즈    020150                  
00아시아나항공      020560ASIANA 1019 109090
00일진디스플        020760IJDIS  1013 10    
00서원              021050SWN    1011 10    
00코웨이            021240WJ     1026 10    
00세원정공          021820SEPI   1015 10    
00우리파이낸셜      021960WOORIFC1021 10    
00삼원강재          023000                  
00MH에탄올          023150MH     1005 10    
00한국종합기술      023350                  
00동남합성          023450DCI    1008 10    
00롯데쇼핑          023530LOTS   1016 10    
00다우기술          023590DAOU   1026 10    
00인지컨트롤스      023800INZI   1015 10    
00인팩              023810INFAC  1015 10    
00에쓰씨엔지니어링  023960SCEG   1026 10    
00WISCOM            024070WISCOM 1008 10    
00디씨엠            024090DCM    1011 10    
00기업은행          024110IBK    1022 10    
00한국콜마홀딩스    024720KKM    1026 10    
00대원화성          024890DWC    1008 10    
00덕양산업          024900DYC    1015 10    
00KPX케미칼         025000KPXC   1008 10    
00SJM홀딩스         025530SJM    1026 10    
00한국단자          025540KET    1013 10    
00미래산업          025560MRC    1014 10    
00신우              025620SW     1001 10    
00한솔홈데코        025750HSHD   1007 10    
00이구산업          025820LEEKU  1011 10    
00KPX화인케미칼     025850KPXFC  1008 10    
00남해화학          025860NCC    1008 10    
00한국주강          025890HKS    1012 10    
00디피씨            026890DPC    1013 10    
00부국철강          026940BK     1011 10    
00한화타임월드      027390HTC    1016 109100
00마니커            027740MANI   1005 10    
00세하              027970SEHA   1007 10    
00삼성엔지니어링    028050SECL   1026 109010
00동아지질          028100                  
10STX팬오션         028670STXPO  1019 10    
00케이씨텍          029460KCT    1014 10    
00신도리코          029530SR     1013 10    
00삼성카드          029780SSCARD 1021 10    
00제일기획          030000CWI    1026 109010
00KT                030200KT     1020 10    
00KTB투자증권       030210KTBSEC 1024 10    
00교보증권          030610KBSEC  1024 10    
00동원수산          030720DWF    1001 10    
10동양네트웍스      030790                  
00신세계인터내셔날  031430                  
00신세계푸드        031440                  
00콤텍시스템        031820COMTEC 1026 10    
00롯데관광개발      032350LT     1026 10    
00황금에스티        032560                  
00LG유플러스        032640LGT    1020 109030
00삼성생명          032830                  
00필룩스            033180FLX    1013 10    
00자화전자          033240JHE    1013 10    
00체시스            033250CSS    1015 10    
00유나이티드제약    033270KUP    1009 10    
00세종공업          033530SEJONG 1015 10    
00아주캐피탈        033660                  
00KT&G              033780KTG    1001 10    
00무학              033920                  
00두산중공업        034020DSH    1012 109111
00SBS               034120SBS    1026 10    
00LG디스플레이      034220LGD    1013 10    
00신세계건설        034300SECC   1018 10    
00NICE              034310NICE   1026 10    
00인천도시가스      034590ICGAS  1017 10    
00SK C&C            034730                  
00GⅡR              035000GⅡR   1026 109030
00백산              035150BAIXAN 1008 10    
00강원랜드          035250KL     1026 10    
00NAVER             035420NHN    1026 10    
00신세계 I&C        035510SINC   1026 109230
00한국가스공사      036460KOGAS  1017 10    
00S&T홀딩스         036530S&THD  1026 10    
00엔씨소프트        036570NCFT   1026 10    
00팜스코            036580FSC    1005 10    
00휘닉스컴          037270PNIX   1026 10    
00CJ헬로비전        037560                  
00미래에셋증권      037620MRASEC 1024 10    
00광주신세계        037710GJSSG  1016 10    
00하나투어          039130                  
00키움증권          039490                  
00상신브레이크      041650SG     1015 10    
00대우조선해양      042660DSME   1015 10    
00두산인프라코어    042670DSINFRA1012 10    
00한미반도체        042700HANMI  1012 10    
00주연테크          044380JYT    1013 10    
00KSS해운           044450KSS    1019 10    
00코스맥스          044820COSMAX 1008 10    
00대우건설          047040DWEC   1018 10    
00대우인터내셔널    047050DWIC   1016 10    
00쌍용머티리얼      047400                  
00한국항공우주      047810                  
00동원F&B           049770DFB    1005 10    
00우진플라임        049800WOOJIN 1012 10    
00포스코플랜텍      051310SGT    1012 10    
00한전KPS           051600KPS    1018 10    
00진양화학          051630CYCC   1008 10    
00LG생활건강        051900LGHH   1008 109031
00LG생활건강우      051905LGHH5  1008 109031
00LG화학            051910LGCHEM 1008 109031
00LG화학우          051915LGCHEM51008 109031
00한전기술          052690                  
00우리금융          053000WFG    1021 10    
00스카이라이프      053210                  
00한미글로벌        053690                  
00신한지주          055550SHFG   1021 10    
