00아리온            058220       2157 043015400   
00금성테크          058370       2084 027009400   
00KNN               058400       2152 041015300   
00제이웨이          058420       2106 037017400   
00일야              058450       2160 043015400   
00리노공업          058470       2159 043015200   
00이큐스앤자루      058530       2070 024008410   
00에스피지          058610       2160 043015400   
00엠게임            058630       2154 042015400   
00CMG제약           058820       2066 024008300   
00미코              059090       2159 043015400   
00아이컴포넌트      059100       2160 043015310   
00메타바이오메드    059210       2066 024008410   
00인선이엔티        060150       2107 038012300   
00이그잭스          060230       2065 024008410   
00아이넷스쿨        060240       2102 035012400   
00한국사이버결제    060250       2155 042015300   
00뉴보텍            060260       2065 024008410   
00큐렉소            060280       2085 027009310   
00레드로버          060300       2106 037017310   
003S                060310       2159 043015210   
00KT서브마린        060370       2082 026010400   
00동양에스텍        060380       2068 024008400   
00에스에이티        060540       2157 043015410   
00홈센타            060560       2084 027009400   
00아이리버          060570       2158 043015300   
00씨티씨바이오      060590       2084 027009200   
00KH바텍            060720       2160 043015200   
00에어파크          060900       2082 026010400   
10프리젠            060910       2160 043015400   
00알에프텍          061040       2157 043015300   
00화일약품          061250       2066 024008300   
10한진피앤씨        061460       2065 024008300   
00엘비세미콘        061970       2159 043015300   
00티엘아이          062860       2159 043015400   
00게임빌            063080       2154 042015212   
00서울옥션          063170       2084 027009400   
00케이디미디어      063440       2063 024008400   
00한국전자금융      063570       2151 041015400   
00휴바이론          064090       2157 043015400   
00홈캐스트          064240       2157 043015400   
00다날              064260       2154 042015200   
00인텍플러스        064290       2159 043015410   
00브리지텍          064480       2156 042015410   
00바른전자          064520       2159 043015400   
00바이오니아        064550       2066 024008300   
00티씨케이          064760       2159 043015300   
00필링크            064800       2156 042015400   
00소셜미디어99      064820       2075 024008400   
00지엔코            065060       2058 024008300   
00탑엔지니어링      065130       2070 024008300   
00MPK               065150       2084 027009300   
00에프티이앤이      065160       2082 026010300   
00엔알디            065170       2084 027009400   
00피에스앤지        065180       2082 026010400   
00플렉스컴          065270       2160 043015200   
00신성델타테크      065350       2072 024008400   
00에스아이리소스    065420       2084 027009300   
00이루온            065440       2155 042015410   
00빅텍              065450       2074 024008410   
00오리엔트정공      065500       2075 024008400   
00휴비츠            065510       2074 024008300   
00전파기지국        065530       2151 041015410   
00큐브스            065560       2155 042015400   
00삼영이엔씨        065570       2157 043015400   
00샤인              065620       2068 024008310   
00메디프론          065650       2084 027009300   
00우주일렉트로      065680       2160 043015200   
00대진디엠피        065690       2065 024008400   
00서호전기          065710       2072 024008400   
00CS                065770       2157 043015410   
00케이에스씨비      065940       2065 024008300   
00웰크론            065950       2058 024008410   
00백산OPC           066110       2158 043015410   
00하츠              066130       2072 024008400   
00SK컴즈            066270       2153 042015200   
00큐에스아이        066310       2159 043015400   
00티에스엠텍        066350       2070 024008400   
00캔들미디어        066410       2154 042015400   
00케이엠알앤씨      066430       2084 027009400   
00우수AMS           066590       2075 024008400   
00국보디자인        066620       2082 026010400   
00디스플레이텍      066670       2160 043015300   
00테라젠이텍스      066700       2066 024008310   
00씨씨에스          066790       2152 041015400   
00디에이피          066900       2160 043015300   
00손오공            066910       2077 024008300   
00엘앤에프          066970       2160 043015310   
00하이쎌            066980       2160 043015300   
00조이시티          067000       2154 042015310   
00이씨에스          067010       2158 043015410   
00대화제약          067080       2066 024008300   
00아프리카TV        067160       2155 042015300   
00오텍              067170       2075 024008300   
00크레듀            067280       2154 042015300   
00JW중외신약        067290       2066 024008300   
00하나마이크론      067310       2159 043015300   
00엔브이에이치코리아067570       2075 024008 00   
00에너지솔루션      067630       2099 033012410   
00세진티에스        067770       2160 043015410   
00와이엔텍          067900       2107 038012400   
00이글루시큐리티    067920       2155 042015410   
00도이치모터스      067990       2083 027009410   
00팬엔터테인먼트    068050       2106 037017410   
00KCW               068060       2075 024008400   
00엔티피아          068150       2058 024008400   
00다원시스          068240       2160 043015310   
00셀트리온          068270       2066 024008202   
00일신바이오        068330       2070 024008400   
00셀트리온제약      068760       2066 024008300   
00DMS               068790       2070 024008300   
00디지털대성        068930       2102 035012410   
00아이씨케이        068940       2158 043015410   
00웹젠              069080       2154 042015200   
00코스온            069110       2084 027009310   
00누리플랜          069140       2068 024008410   
00유아이디          069330       2160 043015310   
00엔텔스            069410       2155 042015410   
00에스텍            069510       2072 024008400   
00빛과전자          069540       2157 043015410   
00아이에스이커머스  069920       2085 027009400   
00솔라시아          070300       2155 042015410   
00에버테크노        070480       2070 024008400   
00한솔인티큐브      070590       2156 042015400   
00인피니트헬스케어  071200       2155 042015300   
00로체시스템즈      071280       2072 024008400   
00에이테크솔루션    071670       2070 024008300   
00에이스하이텍      071930       2159 043015400   
00중앙백신          072020       2066 024008310   
00우리산업          072470       2075 024008400   
00태양기전          072520       2160 043015310   
00아로마소프트      072770       2155 042015400   
00메가스터디        072870       2102 035012202   
00빛샘전자          072950       2159 043015400   
00케이에스피        073010       2070 024008410   
00넥센테크          073070       2075 024008400   
00엘엠에스          073110       2160 043015300   
00듀오백코리아      073190       2077 024008400   
00이노와이어리스    073490       2157 043015310   
00에프알텍          073540       2157 043015410   
00프롬써어티        073570       2159 043015410   
00삼원테크          073640       2068 024008410   
10엠텍비젼          074000       2159 043015400   
00디아이디          074130       2160 043015300   
00창해에너지어링    074150       2081 026010400   
00아미노로직스      074430       2159 043015310   
00원익QnC           074600       2067 024008300   
00플랜티넷          075130       2156 042015310   
00동국알앤에스      075970       2067 024008400   
00웰크론한텍        076080       2070 024008310   
00해성옵틱스        076610       2160 043015 10   
00다윈텍            077280       2159 043015400   
00덕산하이메탈      077360       2159 043015202   
00이트레이드증권    078020       2094 031011200   
00유비쿼스          078070       2157 043015300   
00국일제지          078130       2062 024008400   
00대봉엘에스        078140       2066 024008400   
00HB테크놀러지      078150       2070 024008410   
00메디포스트        078160       2066 024008212   
00컴투스            078340       2154 042015210   
00한양디지텍        078350       2159 043015400   
00두올산업          078590       2075 024008400   
00대주전자재료      078600       2160 043015310   
00코렌              078650       2074 024008400   
00아이디에스        078780       2160 043015400   
00포인트아이        078860       2155 042015400   
00가온미디어        078890       2157 043015400   
00일경산업개발      078940       2068 024008400   
00와토스코리아      079000       2065 024008400   
00한창산업          079170       2068 024008400   
00EMW               079190       2157 043015410   
00제우스            079370       2070 024008400   
00서산              079650       2067 024008410   
00디이엔티          079810       2070 024008410   
00가비아            079940       2153 042015410   
00LIG에이디피       079950       2070 024008300   
00동양이엔피        079960       2160 043015300   
00투비소프트        079970       2155 042015410   
00에스엔유          080000       2070 024008310   
00이상네트웍스      080010       2153 042015400   
00모두투어          080160       2100 033012200   
00제주반도체        080220       2159 043015300   
00이노칩            080420       2160 043015300   
00세진전자          080440       2075 024008400   
00성창오토텍        080470       2075 024008400   
00오디텍            080520       2159 043015300   
00코디에스          080530       2070 024008410   
00티플랙스          081150       2068 024008400   
00세미텍            081220       2159 043015400   
00성우전자          081580       2160 043015300   
00넥스지            081970       2155 042015410   
00옵트론텍          082210       2160 043015200   
00젬백스            082270       2070 024008200   
00피엘에이          082390       2160 043015400   
00크루셜엠스        082660       2160 043015300   
00루미마이크로      082800       2159 043015300   
00우리이티아이      082850       2160 043015300   
00비츠로셀          082920       2160 043015310   
00실리콘화일        082930       2159 043015410   
00엘오티베큠        083310       2159 043015410   
00GST               083450       2159 043015410   
00KJ프리텍          083470       2160 043015410   
00케이엠            083550       2058 024008410   
00윈포넷            083640       2157 043015410   
00비에이치아이      083650       2070 024008200   
00젠트로            083660       2065 024008400   
00크리스탈          083790       2098 033012300   
00아바코            083930       2070 024008300   
00휴온스            084110       2066 024008300   
00수성              084180       2070 024008410   
00유진테크          084370       2159 043015200   
00팅크웨어          084730       2157 043015300   
00바이로메드        084990       2098 033012200   
00루트로닉          085370       2074 024008410   
00차바이오앤        085660       2066 024008202   
00뉴프렉스          085670       2160 043015400   
00알티캐스트        085810       2155 042015 00   
00네오티스          085910       2070 024008410   
00바이오톡스텍      086040       2098 033012410   
00진바이오텍        086060       2056 024008400   
00씨앤비텍          086200       2157 043015400   
00화신테크          086250       2070 024008400   
00유니테스트        086390       2159 043015410   
00동국제약          086450       2066 024008300   
00에코프로          086520       2160 043015310   
00비엠티            086670       2070 024008410   
00신양              086830       2160 043015300   
00이수앱지스        086890       2066 024008300   
00메디톡스          086900       2066 024008210   
00MDS테크           086960       2155 042015300   
00미디어플렉스      086980       2106 037017300   
00스틸플라워        087220       2068 024008310   
00네패스신소재      087730       2159 043015410   
00동아엘텍          088130       2070 024008400   
00이원컴포텍        088290       2075 024008400   
00이녹스            088390       2160 043015300   
00에이스테크        088800       2157 043015400   
00동우              088910       2056 024008300   
00켐트로닉스        089010       2160 043015300   
00테크윙            089030       2159 043015310   
00넥스턴            089140       2070 024008400   
